Id;Material_id;Dosaje;Ref;Material;Unidad
9;27;0,85;mo;ayudante;h
10;0;0;_;_;_
10;140;12;ma;hierro liso herrero;kg
10;92;1,5;ma;electrodos 2,5 mm;kg
10;20;0,07;ma;antióxido al cromato;lts
10;141;0,4;ma;hierro planchuela;kg
10;209;1;mo;oficial;h
10;27;1;mo;ayudante;h
11;0;0;_;_;_
11;139;0,15;ma;hidrófugo x litro;lts
15;0;0;_;_;_
15;38;0,22;ma;barniz sintético;lts
15;6;0,1;ma;aguarrás;u
15;213;0,2;ma;papel lija mediana;u
15;209;0,75;mo;oficial;h
15;27;0,1;mo;ayudante;h
16;0;0;_;_;_
16;2;0,13;ma;aceite de lino cocido;kg
16;213;0,25;ma;papel lija mediana;u
16;6;0,07;ma;aguarrás;u
16;38;0,21;ma;barniz sintético;lts
16;209;0,6;mo;oficial;h
16;27;0,15;mo;ayudante;h
17;0;0;_;_;_
17;213;0,25;ma;papel lija mediana;u
17;46;0,006;ma;cal hidratada en bolsa;bolsas
17;209;0,17;mo;oficial;h
17;27;0,1;mo;ayudante;h
18;0;0;_;_;_
18;57;0,22;ma;cemento Portland x 50kg;bolsas
18;252;1,05;ma;plástico 100 micrones;m2
18;139;0,25;ma;hidrófugo x litro;lts
18;24;0,02;ma;arena gruesa lavada;m3
18;234;0,5;ma;pintura asfáltica secado rapido;lts
18;209;1,2;mo;oficial;h
18;27;0,6;mo;ayudante;h
19;0;0;_;_;_
19;57;0,24;ma;cemento Portland x 50kg;bolsas
19;139;0,25;ma;hidrófugo x litro;lts
19;24;0,02;ma;arena gruesa lavada;m3
19;234;0,5;ma;pintura asfáltica secado rapido;lts
19;209;1,9;mo;oficial;h
19;27;1,2;mo;ayudante;h
20;0;0;_;_;_
20;57;0,3;ma;cemento Portland x 50kg;bolsas
20;161;0,02;ma;ladrillo común;u
20;139;0,25;ma;hidrófugo x litro;lts
20;24;0,04;ma;arena gruesa lavada;m3
20;234;1;ma;pintura asfáltica secado rapido;lts
20;46;0,08;ma;cal hidratada en bolsa;bolsas
20;209;2,3;mo;oficial;h
21;0;0;_;_;_
21;27;0,8;mo;ayudante;h
22;0;0;_;_;_
22;57;0,3;ma;cemento Portland x 50kg;bolsas
22;25;0,045;ma;arena gruesa;m3
22;209;1,5;mo;oficial;h
22;27;0,75;mo;ayudante;h
23;0;0;_;_;_
23;53;1;ma;Carpinteria de aluminio xm2;m2
23;138;1;ma;herrajes completos;u
23;209;2;mo;oficial;h
23;27;2;mo;ayudante;h
24;0;0;_;_;_
24;54;1;ma;cartel de obra;gl
24;209;2;mo;oficial;h
24;27;1;mo;ayudante;h
25;0;0;_;_;_
25;216;0,1;ma;pastina p/ceramicos color;kg
25;4;3,5;ma;adhesivo p/piso cerámico;kg
25;59;1,1;ma;cerámico esmaltado;m2
25;209;3;mo;oficial;h
25;27;1,5;mo;ayudante;h
26;0;0;_;_;_
26;216;0,1;ma;pastina p/ceramicos color;kg
26;57;0,08;ma;cemento Portland x 50kg;bolsas
26;25;0,02;ma;arena gruesa;m3
26;46;0,08;ma;cal hidratada en bolsa;bolsas
26;59;1,05;ma;cerámico esmaltado;m2
26;209;1,8;mo;oficial;h
26;27;0,7;mo;ayudante;h
27;0;0;_;_;_
27;74;0,1;ma;"clavos P.P. 2 1/2""";kg
27;307;1,5;ma;"tirante pino 3""x3"" s/cepillar";m
27;16;0,1;ma;alambre negro Nº16;kg
27;66;1;ma;chapa H°G° N°27, 3.05 x 1.10 m.;u
27;209;0,16;mo;oficial;h
27;27;0,8;mo;ayudante;h
28;0;0;_;_;_
28;140;10;ma;hierro liso herrero;kg
28;141;0,03;ma;hierro planchuela;kg
28;120;0,5;ma;gancho p/chapa FºCº;u
28;63;1,2;ma;chapa acanalada F°C°;m2
28;20;0,2;ma;antióxido al cromato;lts
28;92;0,25;ma;electrodos 2,5 mm;kg
28;209;1,8;mo;oficial;h
28;27;1,6;mo;ayudante;h
29;0;0;_;_;_
29;140;9;ma;hierro liso herrero;kg
29;92;0,2;ma;electrodos 2,5 mm;kg
29;64;1,2;ma;chapa acanalada HºGº;m2
29;119;1;ma;"gancho ""J"" p/chapa galvanizada";u
29;20;0,2;ma;antióxido al cromato;lts
29;209;1,1;mo;oficial;h
29;27;0,9;mo;ayudante;h
30;0;0;_;_;_
30;306;1,6;ma;"tirante pino 2x3""";m
30;73;0,15;ma;"clavos P.P. 1""";kg
30;64;1,2;ma;chapa acanalada HºGº;m2
30;185;1,1;ma;"madera machimbrada pino 3/4""";m2
30;72;2;ma;"clavos cabeza de plomo 3""";u
30;180;1,5;ma;"listones pino 1x2""";ml
30;209;1,4;mo;oficial;h
30;27;1,4;mo;ayudante;h
31;0;0;_;_;_
31;46;0,065;ma;cal hidratada en bolsa;bolsas
31;57;0,009;ma;cemento Portland x 50kg;bolsas
31;139;0,15;ma;hidrófugo x litro;lts
31;209;0,6;mo;oficial;h
32;617;0,006;ma;arena fina;m3
31;27;0,3;mo;ayudante;h
32;0;0;_;_;_
32;46;0,065;ma;cal hidratada en bolsa;bolsas
32;57;0,009;ma;cemento Portland x 50kg;bolsas
32;209;1;mo;oficial;h
32;27;0,4;mo;ayudante;h
33;0;0;_;_;_
33;46;0,144;ma;cal hidratada en bolsa;bolsas
33;57;0,04;ma;cemento Portland x 50kg;bolsas
33;24;0,02;ma;arena gruesa lavada;m3
33;139;0,15;ma;hidrófugo x litro;lts
33;209;0,85;mo;oficial;h
33;27;0,45;mo;ayudante;h
34;0;0;_;_;_
34;46;0,144;ma;cal hidratada en bolsa;bolsas
34;57;0,04;ma;cemento Portland x 50kg;bolsas
34;24;0,02;ma;arena gruesa lavada;m3
34;209;0,7;mo;oficial;h
34;27;0,35;mo;ayudante;h
35;0;0;_;_;_
35;46;1,1;ma;cal hidratada en bolsa;bolsas
35;264;0,4;ma;ripio;m3
35;219;0,62;ma;piedra bola;m3
35;57;1,7;ma;cemento Portland x 50kg;bolsas
35;209;3;mo;oficial;h
35;27;10;mo;ayudante;h
37;0;0;_;_;_
37;27;0,25;mo;ayudante;h
37;322;0,25;ma;vibrocompactador a explosión;h
38;0;0;_;_;_
38;46;0,56;ma;cal hidratada en bolsa;bolsas
38;57;0,16;ma;cemento Portland x 50kg;bolsas
38;218;0,16;ma;perla de telgopor;m3
38;25;0,07;ma;arena gruesa;m3
38;209;0,7;mo;oficial;h
38;27;1,5;mo;ayudante;h
39;0;0;_;_;_
39;46;0,36;ma;cal hidratada en bolsa;bolsas
39;57;0,22;ma;cemento Portland x 50kg;bolsas
39;264;0,1;ma;ripio;m3
39;209;2,2;mo;oficial;h
39;27;1,1;mo;ayudante;h
40;0;0;_;_;_
40;46;0,396;ma;cal hidratada en bolsa;bolsas
40;57;0,242;ma;cemento Portland x 50kg;bolsas
40;209;2,2;mo;oficial;h
40;27;1,1;mo;ayudante;h
41;0;0;_;_;_
41;57;0,5;ma;cemento Portland x 50kg;bolsas
41;186;1;ma;malla Sima Q92;kg
41;263;0,07;ma;ripio lavado 1:3;m3
41;25;0,05;ma;arena gruesa;m3
41;209;2,6;mo;oficial;h
41;27;1,5;mo;ayudante;h
42;0;0;_;_;_
42;46;0,12;ma;cal hidratada en bolsa;bolsas
42;57;0,05;ma;cemento Portland x 50kg;bolsas
42;264;0,05;ma;ripio;m3
42;209;2,05;mo;oficial;h
42;27;1;mo;ayudante;h
43;0;0;_;_;_
43;140;2,3;ma;hierro liso herrero;kg
43;92;0,8;ma;electrodos 2,5 mm;kg
43;20;0,05;ma;antióxido al cromato;lts
43;209;0,5;mo;oficial;h
43;27;0,5;mo;ayudante;h
44;0;0;_;_;_
44;183;3,8;ma;"madera dura 11/2""x2"" cepillada";m
44;57;0,08;ma;cemento Portland x 50kg;bolsas
44;25;0,02;ma;arena gruesa;m3
44;46;0,12;ma;cal hidratada en bolsa;bolsas
44;59;1,1;ma;cerámico esmaltado;m2
44;305;12;ma;"tirafondo 6,5 mm x 3""";u
44;209;2,5;mo;oficial;h
44;27;2,5;mo;ayudante;h
45;0;0;_;_;_
45;209;0,1;mo;oficial;h
45;27;0,5;mo;ayudante;h
45;28;0,04;mo;ayudante carga/descarga;h
45;77;0,01;ma;contenedor;u
46;0;0;_;_;_
46;209;1;mo;oficial;h
46;27;12;mo;ayudante;h
46;28;0,9;mo;ayudante carga/descarga;h
46;77;0,25;ma;contenedor;u
47;0;0;_;_;_
47;209;0,3;mo;oficial;h
47;27;1,7;mo;ayudante;h
47;28;0,22;mo;ayudante carga/descarga;h
47;77;0,03;ma;contenedor;u
48;0;0;_;_;_
48;209;0,12;mo;oficial;h
48;27;0,6;mo;ayudante;h
49;0;0;_;_;_
49;209;0,26;mo;oficial;h
49;27;1,3;mo;ayudante;h
49;28;0,1;mo;ayudante carga/descarga;h
49;77;0,02;ma;contenedor;u
50;0;0;_;_;_
50;209;1,2;mo;oficial;h
50;27;20;mo;ayudante;h
50;28;0,9;mo;ayudante carga/descarga;h
50;77;0,25;ma;contenedor;u
51;0;0;_;_;_
51;209;0,6;mo;oficial;h
51;27;6;mo;ayudante;h
51;28;0,8;mo;ayudante carga/descarga;h
51;77;0,22;ma;contenedor;u
52;0;0;_;_;_
52;209;0,37;mo;oficial;h
52;27;1,85;mo;ayudante;h
52;28;0,11;mo;ayudante carga/descarga;h
52;77;0,01;ma;contenedor;u
53;0;0;_;_;_
53;209;0,4;mo;oficial;h
53;27;1,85;mo;ayudante;h
53;28;0,08;mo;ayudante carga/descarga;h
53;77;0,005;ma;contenedor;u
54;0;0;_;_;_
54;209;0,08;mo;oficial;h
54;27;1,4;mo;ayudante;h
54;28;0,07;mo;ayudante carga/descarga;h
54;77;0,006;ma;contenedor;u
55;0;0;_;_;_
55;209;0,03;mo;oficial;h
55;27;0,03;mo;ayudante;h
55;208;0,02;ma;motoniveladora;h
56;0;0;_;_;_
56;156;1;ma;Instalacion eléctrica global 130-150m2;gl
57;0;0;_;_;_
57;46;0,03;ma;cal hidratada en bolsa;bolsas
57;24;0,01;ma;arena gruesa lavada;m3
57;209;0,55;mo;oficial;h
57;27;0,3;mo;ayudante;h
58;0;0;_;_;_
58;46;0,065;ma;cal hidratada en bolsa;bolsas
58;57;0,009;ma;cemento Portland x 50kg;bolsas
58;139;0,15;ma;hidrófugo x litro;lts
58;209;1,05;mo;oficial;h
58;27;0,65;mo;ayudante;h
59;0;0;_;_;_
59;46;0,065;ma;cal hidratada en bolsa;bolsas
59;57;0,009;ma;cemento Portland x 50kg;bolsas
59;209;0,95;mo;oficial;h
59;27;0,55;mo;ayudante;h
60;0;0;_;_;_
60;355;6,5;ma;yeso blanco;kg
60;209;0,65;mo;oficial;h
60;27;0,6;mo;ayudante;h
61;0;0;_;_;_
61;355;0,5;ma;yeso blanco;kg
61;209;0,7;mo;oficial;h
61;27;0,25;mo;ayudante;h
63;0;0;_;_;_
63;99;1;ma;escalera madera;m2
59;617;0,006;ma;arena fina;m3
63;209;5;mo;oficial;h
63;27;6,5;mo;ayudante;h
64;0;0;_;_;_
64;236;0,25;ma;pintura epoxi amarillo;lts
64;213;0,25;ma;papel lija mediana;u
64;235;0,15;ma;pintura de imprimación;lts
64;209;0,8;mo;oficial;h
64;27;0,2;mo;ayudante;h
65;0;0;_;_;_
65;106;0,1;ma;esmalte sintetico verde x 4 lts;u
65;6;0,2;ma;aguarrás;u
65;118;0,15;ma;fondo p/chapa galvanizada tipo Galvite;lts
65;209;0,7;mo;oficial;h
65;27;0,2;mo;ayudante;h
66;0;0;_;_;_
66;2;0,13;ma;aceite de lino cocido;kg
66;213;0,25;ma;papel lija mediana;u
66;6;0,06;ma;aguarrás;u
66;107;0,05;ma;esmalte sintetico x 4 lts blanco;u
66;209;0,7;mo;oficial;h
66;27;0,2;mo;ayudante;h
67;0;0;_;_;_
67;6;0,1;ma;aguarrás;u
67;21;0,03;ma;antióxido rojo lata x 4 lts.;u
67;107;0,04;ma;esmalte sintetico x 4 lts blanco;u
67;209;0,9;mo;oficial;h
67;27;0,2;mo;ayudante;h
68;0;0;_;_;_
68;107;0,04;ma;esmalte sintetico x 4 lts blanco;u
68;98;0,03;ma;entonador (pomo 120 cm3);u
68;213;0,25;ma;papel lija mediana;u
68;235;0,1;ma;pintura de imprimación;lts
68;6;0,06;ma;aguarrás;u
68;209;0,5;mo;oficial;h
68;27;0,2;mo;ayudante;h
69;0;0;_;_;_
69;2;0,13;ma;aceite de lino cocido;kg
69;213;0,25;ma;papel lija mediana;u
69;6;0,07;ma;aguarrás;u
69;107;0,15;ma;esmalte sintetico x 4 lts blanco;u
69;209;0,6;mo;oficial;h
69;27;0,25;mo;ayudante;h
70;0;0;_;_;_
70;108;1;ma;espejo 3mm;m2
70;267;150;ma;silicona p/vidrios;cm3
70;209;0,5;mo;oficial;h
71;0;0;_;_;_
71;27;3;mo;ayudante;h
72;0;0;_;_;_
72;27;5;mo;ayudante;h
73;0;0;_;_;_
73;27;3,4;mo;ayudante;h
74;0;0;_;_;_
74;27;6;mo;ayudante;h
75;0;0;_;_;_
75;27;3;mo;ayudante;h
76;0;0;_;_;_
76;46;0,11;ma;cal hidratada en bolsa;bolsas
76;57;0,09;ma;cemento Portland x 50kg;bolsas
76;139;0,15;ma;hidrófugo x litro;lts
76;24;0,03;ma;arena gruesa lavada;m3
76;209;1,2;mo;oficial;h
76;27;0,6;mo;ayudante;h
77;0;0;_;_;_
77;265;5;ma;salpicado plástico blanco tipo Igam;kg
77;209;0,2;mo;oficial;h
77;27;0,2;mo;ayudante;h
79;0;0;_;_;_
79;157;1;ma;Instalacion gas global 130-150m2;gl
80;0;0;_;_;_
80;46;0,144;ma;cal hidratada en bolsa;bolsas
80;57;0,037;ma;cemento Portland x 50kg;bolsas
80;24;0,02;ma;arena gruesa lavada;m3
80;139;0,15;ma;hidrófugo x litro;lts
80;209;2;mo;oficial;h
80;27;1,1;mo;ayudante;h
81;0;0;_;_;_
81;46;0,144;ma;cal hidratada en bolsa;bolsas
81;57;0,04;ma;cemento Portland x 50kg;bolsas
81;24;0,02;ma;arena gruesa lavada;m3
81;209;1,7;mo;oficial;h
81;27;0,85;mo;ayudante;h
82;0;0;_;_;_
82;46;0,144;ma;cal hidratada en bolsa;bolsas
82;139;0,2;ma;hidrófugo x litro;lts
82;57;0,037;ma;cemento Portland x 50kg;bolsas
82;24;0,02;ma;arena gruesa lavada;m3
82;209;1,7;mo;oficial;h
82;27;0,85;mo;ayudante;h
83;0;0;_;_;_
83;149;140;ma;hierro torsionado;kg
83;57;6,4;ma;cemento Portland x 50kg;bolsas
83;181;2;ma;"madera 1"" pino nacional";m2
83;263;0,6;ma;ripio lavado 1:3;m3
83;25;0,7;ma;arena gruesa;m3
83;71;1,5;ma;"clavos 2""";kg
83;307;4;ma;"tirante pino 3""x3"" s/cepillar";m
83;16;1,2;ma;alambre negro Nº16;kg
83;209;23;mo;oficial;h
83;27;21;mo;ayudante;h
84;0;0;_;_;_
84;149;105;ma;hierro torsionado;kg
84;57;5;ma;cemento Portland x 50kg;bolsas
84;181;2,5;ma;"madera 1"" pino nacional";m2
84;263;0,6;ma;ripio lavado 1:3;m3
84;25;0,7;ma;arena gruesa;m3
84;16;2;ma;alambre negro Nº16;kg
84;71;2;ma;"clavos 2""";kg
84;307;6;ma;"tirante pino 3""x3"" s/cepillar";m
84;209;23;mo;oficial;h
84;27;21;mo;ayudante;h
85;0;0;_;_;_
85;149;40;ma;hierro torsionado;kg
85;57;6,4;ma;cemento Portland x 50kg;bolsas
85;181;2;ma;"madera 1"" pino nacional";m2
85;263;0,6;ma;ripio lavado 1:3;m3
85;25;0,7;ma;arena gruesa;m3
85;16;1,2;ma;alambre negro Nº16;kg
85;71;1,7;ma;"clavos 2""";kg
85;307;1,4;ma;"tirante pino 3""x3"" s/cepillar";m
85;209;24;mo;oficial;h
85;27;24;mo;ayudante;h
86;0;0;_;_;_
86;149;0,55;ma;hierro torsionado;kg
86;186;1,79;ma;malla Sima Q92;kg
86;43;8;ma;bovedilla cerámica 12,5x40x25;u
86;354;2,1;ma;viguetas pretensadas;m
86;57;0,56;ma;cemento Portland x 50kg;bolsas
86;181;0,3;ma;"madera 1"" pino nacional";m2
86;263;0,06;ma;ripio lavado 1:3;m3
86;25;0,07;ma;arena gruesa;m3
86;16;0,2;ma;alambre negro Nº16;kg
86;71;0,1;ma;"clavos 2""";kg
86;307;1,2;ma;"tirante pino 3""x3"" s/cepillar";m
86;209;5,1;mo;oficial;h
86;27;4,1;mo;ayudante;h
87;0;0;_;_;_
87;149;0,6;ma;hierro torsionado;kg
87;186;1,79;ma;malla Sima Q92;kg
87;44;8;ma;bovedilla ceramica 16,5x40x25;u
87;354;2,1;ma;viguetas pretensadas;m
87;57;0,62;ma;cemento Portland x 50kg;bolsas
87;181;0,35;ma;"madera 1"" pino nacional";m2
87;263;0,07;ma;ripio lavado 1:3;m3
87;25;0,08;ma;arena gruesa;m3
87;16;0,2;ma;alambre negro Nº16;kg
87;71;0,1;ma;"clavos 2""";kg
87;307;1,5;ma;"tirante pino 3""x3"" s/cepillar";m
87;209;5,2;mo;oficial;h
87;27;4,2;mo;ayudante;h
88;0;0;_;_;_
88;149;0,5;ma;hierro torsionado;kg
88;186;1,79;ma;malla Sima Q92;kg
88;45;8;ma;bovedilla cerámica 9,5x40x25;u
88;353;2,1;ma;Vigueta de hormigón pretensado Vigueta Pretensada Hormigón (por ml. estimado);ml
88;57;0,48;ma;cemento Portland x 50kg;bolsas
88;181;0,3;ma;"madera 1"" pino nacional";m2
88;263;0,05;ma;ripio lavado 1:3;m3
88;25;0,06;ma;arena gruesa;m3
88;16;0,2;ma;alambre negro Nº16;kg
88;71;0,1;ma;"clavos 2""";kg
88;307;1,1;ma;"tirante pino 3""x3"" s/cepillar";m
88;209;5;mo;oficial;h
88;27;4;mo;ayudante;h
89;0;0;_;_;_
89;149;0,6;ma;hierro torsionado;kg
89;186;1,79;ma;malla Sima Q92;kg
89;167;2;ma;Ladrillo de techo poliestireno (16x100x42) x unidad;u
89;354;2,1;ma;viguetas pretensadas;m
89;57;0,62;ma;cemento Portland x 50kg;bolsas
89;181;0,35;ma;"madera 1"" pino nacional";m2
89;263;0,07;ma;ripio lavado 1:3;m3
89;25;0,08;ma;arena gruesa;m3
89;16;0,2;ma;alambre negro Nº16;kg
89;71;0,1;ma;"clavos 2""";kg
89;307;1,5;ma;"tirante pino 3""x3"" s/cepillar";m
89;209;5,2;mo;oficial;h
89;27;4,2;mo;ayudante;h
90;0;0;_;_;_
90;149;0,55;ma;hierro torsionado;kg
90;186;1,79;ma;malla Sima Q92;kg
90;166;2;ma;Ladrillo de techo poliestireno (12x100x42) x unidad;u
90;354;2,1;ma;viguetas pretensadas;m
90;57;0,56;ma;cemento Portland x 50kg;bolsas
90;181;0,3;ma;"madera 1"" pino nacional";m2
90;263;0,06;ma;ripio lavado 1:3;m3
90;25;0,07;ma;arena gruesa;m3
90;16;0,2;ma;alambre negro Nº16;kg
90;71;0,1;ma;"clavos 2""";kg
90;307;1,2;ma;"tirante pino 3""x3"" s/cepillar";m
90;209;5,1;mo;oficial;h
90;27;4,1;mo;ayudante;h
91;0;0;_;_;_
91;149;0,5;ma;hierro torsionado;kg
91;186;1,79;ma;malla Sima Q92;kg
91;168;2;ma;Ladrillo de techo poliestireno (9x100x42) x unidad;u
91;353;2,1;ma;Vigueta de hormigón pretensado Vigueta Pretensada Hormigón (por ml. estimado);ml
91;57;0,48;ma;cemento Portland x 50kg;bolsas
91;181;0,3;ma;"madera 1"" pino nacional";m2
91;263;0,05;ma;ripio lavado 1:3;m3
91;25;0,06;ma;arena gruesa;m3
91;16;0,2;ma;alambre negro Nº16;kg
91;71;0,1;ma;"clavos 2""";kg
91;307;1,1;ma;"tirante pino 3""x3"" s/cepillar";m
91;209;5;mo;oficial;h
91;27;4;mo;ayudante;h
92;0;0;_;_;_
92;149;34;ma;hierro torsionado;kg
92;57;6,4;ma;cemento Portland x 50kg;bolsas
92;181;0,7;ma;"madera 1"" pino nacional";m2
92;263;0,06;ma;ripio lavado 1:3;m3
92;25;0,7;ma;arena gruesa;m3
92;71;1;ma;"clavos 2""";kg
92;307;2;ma;"tirante pino 3""x3"" s/cepillar";m
92;16;1,2;ma;alambre negro Nº16;kg
92;209;15;mo;oficial;h
92;27;15;mo;ayudante;h
93;0;0;_;_;_
93;25;0,6;ma;arena gruesa;m3
93;263;0,65;ma;ripio lavado 1:3;m3
93;149;25;ma;hierro torsionado;kg
93;57;5;ma;cemento Portland x 50kg;bolsas
93;16;0,15;ma;alambre negro Nº16;kg
93;209;5;mo;oficial;h
93;27;10;mo;ayudante;h
94;0;0;_;_;_
94;149;80;ma;hierro torsionado;kg
94;57;6,4;ma;cemento Portland x 50kg;bolsas
94;181;2,5;ma;"madera 1"" pino nacional";m2
94;263;0,6;ma;ripio lavado 1:3;m3
94;25;0,7;ma;arena gruesa;m3
94;16;2,5;ma;alambre negro Nº16;kg
94;71;2,5;ma;"clavos 2""";kg
94;307;8;ma;"tirante pino 3""x3"" s/cepillar";m
94;209;26;mo;oficial;h
94;27;26;mo;ayudante;h
95;0;0;_;_;_
95;140;95;ma;hierro liso herrero;kg
95;57;6,8;ma;cemento Portland x 50kg;bolsas
95;182;3,5;ma;madera 1ra. pino cepillada;m2
95;263;0,6;ma;ripio lavado 1:3;m3
95;25;0,7;ma;arena gruesa;m3
95;16;2,5;ma;alambre negro Nº16;kg
95;71;2,5;ma;"clavos 2""";kg
95;307;3,5;ma;"tirante pino 3""x3"" s/cepillar";m
95;209;32;mo;oficial;h
95;27;25;mo;ayudante;h
96;0;0;_;_;_
96;149;100;ma;hierro torsionado;kg
96;57;6,4;ma;cemento Portland x 50kg;bolsas
147;138;1;ma;herrajes completos;u
147;209;2;mo;oficial;h
147;27;2;mo;ayudante;h
148;0;0;_;_;_
148;209;0,25;mo;oficial;h
148;27;0,25;mo;ayudante;h
148;198;0,25;ma;maquina pulidora trifasica;hr
148;1;0,02;ma;abrasivos y pastas;gl
149;0;0;_;_;_
149;209;0,25;mo;oficial;h
149;27;0,25;mo;ayudante;h
149;198;0,25;ma;maquina pulidora trifasica;hr
149;1;0,02;ma;abrasivos y pastas;gl
150;0;0;_;_;_
150;74;0,022;ma;"clavos P.P. 2 1/2""";kg
150;307;0,18;ma;"tirante pino 3""x3"" s/cepillar";m
150;16;0,04;ma;alambre negro Nº16;kg
150;222;0,05;ma;"pino 1"" s/cepillar";m2
150;209;0,5;mo;oficial;h
150;27;0,5;mo;ayudante;h
151;0;0;_;_;_
151;69;1;ma;cielorraso durlock 9,5 completo;m2
151;209;0,6;mo;oficial;h
151;27;0,6;mo;ayudante;h
153;0;0;_;_;_
153;158;1;ma;Instalacion sanitaria global 130-150m2;gl
154;0;0;_;_;_
154;238;0,3;ma;pintura siliconadas p/ladrillos;lts
154;6;0,15;ma;aguarrás;u
154;209;0,7;mo;oficial;h
154;27;0,4;mo;ayudante;h
155;0;0;_;_;_
155;400;12;ma;Tornillo T1 Punta Mecha 8 X 3/4 pulg;u
155;275;0,7;ma;STEEL PGU 200-1.24;ml
155;278;4;ma;STEEL PGC 200-1.24;ml
155;12;1;ma;"aislación térmica lana de vidrio de 2""";m2
155;209;5,5;mo;oficial;h
155;27;5;mo;ayudante;h
156;0;0;_;_;_
156;209;5,5;mo;oficial;h
156;27;5;mo;ayudante;h
157;0;0;_;_;_
156;401;1,7;ma;Tornillo Hexagonal mecha 10 x 3/4 pulg;u
157;274;1,5;ma;STEEL PGU 150-0.9;ml
157;270;2,5;ma;STEEL PGC 150-0.9;ml
157;10;1;ma;aislación térmica  (ISOLANT TBA 10 mm);ml
157;269;1,6;ma;STEEL PGC 100-0.9;ml
157;432;2,9;ma;Tarugo Fisher Fijacion N°12;u
157;431;2,9;ma;"Tornillo tirafondo y arandela  3/8 x 2-3/4""";u
168;399;2;ma;"cabio madera pino LAM 3"" x 6""";ml
168;10;1,1;ma;aislación térmica  (ISOLANT TBA 10 mm);ml
278;278;0,05;ma;STEEL PGC 200-1.24;ml
342;0;0;_;_;_
157;400;18;ma;Tornillo T1 Punta Mecha 8 X 3/4 pulg;u
158;400;12;ma;Tornillo T1 Punta Mecha 8 X 3/4 pulg;u
158;180;2;ma;"listones pino 1x2""";ml
157;209;5,5;mo;oficial;h
157;27;5;mo;ayudante;h
158;0;0;_;_;_
